ru,en
целлофан,cellophane
саксофон,saxophone
белила,"whitewash, whiting, ceruse"
кривляться,"wriggle, grimace, make faces, give oneself airs, be affected"
свержение,overthrow
вздёрнуть,"hitch up, jerk up, hang, string up"
воспротивиться,"oppose, object, resist, stand up"
вояж,"journey, tour"
раскуривать,light up a cigarette or shisha
подмастерье,apprentice
правдивость,"truthfulness, uprightness, veracity"
обсыпать,"strew, bestrew"
колхозница,"collective farmer, kolkhoznitsa"
удавиться,hang oneself
налогообложение,taxation
выпячивать,"stick out, thrust out, over-emphasize, over-stress"
неспешный,"unhurried, slow, leisurely"
нападки,attacks
обременять,burden
лепет,babble
массировать,"massage, rub, mass, concentrate"
меловой,"chalky, cretaceous"
субординация,seniority
девиз,motto
слепец,"blind man, blind boy"
демократичный,democratic
посрамить,disgrace
дрейфовать,drift
осаждать,"lay siege, besiege, beset, beleaguer, precipitale"
заокеанский,"transoceanic, transatlantic"
перекличка,"call-over, roll-call"
воссоединение,"reunion, reunification"
благосклонный,"favourable, benevolent, gracious"
клюква,"cranberries, cranberry"
резь,"colic, gripes"
овин,barn
пристыдить,"shame, put to shame, make ashamed of"
дужка,"hoop, handle"
ботаника,botany
перешагивать,"step over, overstep, step"
соглядатай,spy
поголовный,"reckoned by the head, capitation, general"
прострация,"prostration, mental and physical exhaustion"
метеоролог,meteorologist
притиснуть,squeeze
хорёк,"polecat, ferret"
впечатлительный,"impressionable, sensitive"
самурай,Samurai
аист,stork
бисер,beads
нараспашку,unbuttoned
безнаказанность,impunity
перипетия,"peripeteia, peripetia, trouble"
лыжня,ski-track
редька,radish
избавитель,"deliverer, redeemer"
новоприбывший,"newly-arrived, new-comer"
вольнонаёмный,civilian
возчик,"carte, carrier"
ассамблея,assembly
обыграть,"beat, use with effect, play up, make play, mellow"
лингвист,linguist
каракулевый,astrakhan
застенчивость,"shyness, bashfulness, diffidence"
чешуйка,scale
похабный,"obscene, bawdy, indecent"
тщеславный,"vain, vainglorious, conceited"
застирать,"wash off, ruin by washing"
скрестись,scratch
раздосадовать,vex
старьё,"old stuff, old junk"
динамический,dynamic
локон,"lock, curl, ringlet"
шуровать,"poke, stoke"
задребезжать,"begin to rattle, begin to jingle, begin to chink"
разрешиться,"be solved, be settled, be allowed"
обнюхать,sniff around
нашёптывать,"whisper, cast a spell, put a spell"
иерархический,hierarchical
наперегонки,"competing in speed, racing one another"
неоценимый,"invaluable, inestimable, priceless"
высыпаться,"pour out, spill out"
проинформировать,inform
терпимо,"tolerantly, tolerably"
ревностный,"zealous, ardent, earnest, fervent"
приправа,"seasoning, relish, condiment, flavouring"
изморозь,"hoar-frost, rime"
селиться,settle
Беларусь,Belarus
соха,wooden plough
Донбасс,"Donbas, Donets Basin, Donets coal-field"
баталия,"battle, fight, row, squabble"
щеколда,latch
ткач,weaver
личина,"mask, guise, scutcheon, key-plate"
томат,"tomato, tomato paste"
механизация,mechanization
поклажа,"load, luggage"
магазинный,Adjective of магазин
правоверный,"orthodox, true believer, true believers, the faithful"
босоножка,"barefooted girl, barefoot dancer"
смолистый,"resinous, resinaceous"
дёрн,"turf, sod"
графоман,graphomaniac
плеврит,pleurisy
буксовать,"skid, slip"
вытертый,threadbare
разгрузочный,unloading
признательность,"gratitude, thankfulness"
рубиновый,ruby
вприпрыжку,"skipping, hopping"
кряжистый,thickset
буйвол,buffalo
простаивать,"stay, stand, spend standing, stand idle, lie idle, last"
устроитель,organizer
славить,"glorify, celebrate, sing the praises"
пессимизм,pessimism
леопард,"leopard, she-leopard, leopardess"
кургузый,"dock-tailed, too tight and short"
штырь,"pin, dowel"
координатор,co-ordinator
порука,"bail, guarantee"
метрдотель,head waiter
ознакомление,acquaintance
преклоняться,"admire, worship"
богослов,"theologian, divine"
сантименты,"sentimentality, sentimentalism"
притрагиваться,touch
подлесок,"underbrush, undergrowth"
выполнимый,"executable, accomplishable, feasible, practicable"
фикция,fiction
приличествовать,"befit, become"
редиска,radish
клевер,clover
басмач,basmatch
экспедиционный,"dispatch, forwarding, expeditionary corps"
гурьба,"crows, throng"
аммиак,"ammonia, ammonium hydrate"
отвёртка,screwdriver
блюститель,"keeper, guardian"
усыпительный,"drowsy, soporific"
погожий,"serene, fine"
копирование,"copying, imitation, imitating"
самострел,"arbalest, crossbow, self-inflicted wound, man with a self-inflicted wound"
нежнейший,"most delicate, gentlest"
всадница,horsewoman
всклокочить,"tousle, dishevel"
добродушие,good nature
лидерство,"leadership, the lead"
вышибать,"knock out, break in, chuck out, kick out"
всыпать,"pour, thrash"
непродолжительный,short duration
необузданный,"unbridled, ungovernable, uncontrollable, unrestrained"
лотос,lotus
юбочка,skirt
забавлять,amuse
сдавливать,squeeze
кассовый,Adjective of касса
значащий,"significant, meaningful"
озорство,"mischief, naughtiness"
католик,Catholic
сопроводительный,accompanying
трудодень,work-day
империалист,imperialist
вихревой,vortical
стерлинг,sterling
жбан,"can, jug"
гвоздик,"tack, stud"
фильтровать,filter
краткосрочный,short-term
костяк,"skeleton, bones, backbone"
испустить,"emit, let out, exhale, utter"
протрава,"mordant, pickle, dip"
немота,"dumbness, muteness"
взахлёб,"excitedly, effusively"
пергамент,parchment
пункция,"puncture, tapping, pricking"
выдуть,"blow out, blow"
словить,"catch, grip, grasp"
усидеть,"remain sitting, eat up, knock back"
пудель,poodle
упразднить,abolish
играючи,off-hand
дорасти,"grow, be old enough"
мемориал,"sports competitions, memorial"
отложение,"deposit, sediment, precipitation, secession"
зримый,visible
прение,rotting
тесак,"broadsword, cutlass, hatchet"
гарнитура,set
хлебник,baker
январский,Adjective of январь
соседствовать,Adjacent
семестр,"term, semester"
грация,"grace, Grace, corset"
кремень,flint
кремень,"stubborn, hard-hearted person"
притязание,"pretension, claim"
тычок,"spike, hit, jab, prod"
закреплять,"fasten, secure, anchor, make fast, reeve, consolidate, allot, appoint, fix"
губошлёп,"mumbler, lout"
узы,"bonds, ties"
воитель,fighter
доярка,dairymaid
отпираться,"come unlocked, deny, disown"
отпущение,"remission, remitment"
сведущий,"versed, experienced"
штакетник,"fence, fencing"
лечебница,clinic
крестоносец,crusader
сдружиться,become friends
вильнуть,"wag, glide away, turn off sharply, side-track, prevaricate, be evasive"
огнетушитель,fire-extinguisher
сатирический,satiric
шасси,"chassis, undercarriage"
многоопытный,highly experienced
реять,"soar, hover, sail, stream, fly"
незаконченный,"incomplete, unfinished"
чернокожий,"black, black-skinned, black man"
томительно,it is wearisome
царствование,reign
причинный,"causal, causative"
опубликование,"publication, promulgation"
сносно,"tolerably, so-so, pretty well"
переподготовка,"retraining, further training"
предохранять,"protect, preserve"
граммофон,gramophone
полечь,"lie down, fall, be killed, lie flat, be beaten down"
муравьиный,Adjective of муравеймуравьиная
светлость,"lightness, brightness"
дискриминация,discrimination
ночник,"night-lamp, night-light"
купать,"bath, bathe, give a bath"
циркуль,compasses
сват,"matchmaker, father of the son-in-law, father of the daughter-in-law"
интеграл,integral
имущий,"propertied, well off, wealthy"
зазор,"shame, disgrace, gap, clearance"
вымазать,"smear, besmear, dirty, soil"
небосвод,"firmament, the vault of heaved, dome of the sky"
наименьший,the least
вздыбить,"rear, raise on its hind legs"
крупнокалиберный,large-calibre
пасхальный,"paschal, Easter"
пересказ,"retelling, narration, exposition, rendering"
обух,"butt, back, eye-bolt"
обезьяний,"simian, apelike"
амулет,"amulet, charm"
мясокомбинат,meat processing and packing factory
овсяный,oat
помножить,multiply
излучина,"bend, curve, winding"
доброкачественный,"benign, non-malignant"
идеализм,idealism
премиальный,bonus
вкось,"obliquely, slantwise, aslant"
забеременеть,"become pregnant, conceive"
продуктивный,productive
неоткуда,from nowhere
искушённый,"experienced, well versed"
темница,dungeon
разлагаться,"decompose, be factorized, rot, decay"
капельница,dropper
спилить,file down
когтистый,sharp-clawed
плёс,"reach, stretch"
магний,magnesium
преклонение,"admiration, worship"
преосвященный,Right Reverend
растрескаться,"crack, chap"
затемно,"before dawn, before daybreak, after dark"
улетучиться,"evaporate, volatilize, vanish"
могильщик,"grave-digger, death-watch"
байдарка,kayak
заглавие,"title, heading"
алгоритм,algorithm
репатриант,repatriate
выведать,"find out, worm out, try to find out"
норматив,"norm, standard"
ознакомить,acquaint
скрючиться,huddle up
разгибаться,straighten oneself up
набрякнуть,swell
рассол,"brine, pickle"
улизнуть,slip away
танкер,tanker
печёночный,hepatic
бронепоезд,armoured train
муниципалитет,municipality
ведомственный,"departmental, narrow, bureaucratic"
фас,front
пойло,"swill, mash, hog-wash, pigswill"
милостыня,"alms, charity"
рутинный,routine
сокровищница,"treasure-house, depository, treasury, storehouse"
новосёл,"new settler, new tenant"
олово,tin
ракетодром,rocket airfield
недостроенный,unfinished
подарочек,present
потасовка,"brawl, fight, scuffle"
эмиссар,emissary
кипучий,"boiling, seething, ebullient"
дирижировать,conduct
отпугивать,"frighten off, scare away"
водосточный,Adjective of водосток
величавый,"stately, majestic"
плафон,"plafond, shade"
ржание,neigh
прелый,"rotten, fusty, musty"
бездарно,without any show of talent
добела,"till is white, till is spotlessly clean"
озирать,view
перемешаться,get mixed up
утираться,"wipe oneself, dry oneself"
каламбур,punster
почтительность,"respect, respectfulness, deference"
приткнуться,"perch oneself, find room for oneself"
забрезжить,"begin to dawn, begin to appear, begin to gleam"
выгружать,"unload, unlade, unship, disembark, detrain"
эликсир,elixir
облизнуть,"lick, lick all over, lick clean"
модерн,modernist style
непрочный,"fragile, flimsy, precarious, insecure, unstable"
иракский,Iraqi
развёртывание,"unrolling, unwinding, unfolding, unwrapping, development, expansion, deployment"
оружейник,"gunsmith, armourer"
перерыть,"break, tear asunder, dig up, rummage, dig again"
фай,faille
гонор,conceit
сосуществование,coexistence
хоровой,"Adjective of хор, choral"
сноровистый,"dextrous, nimble, quick-fingered"
щепотка,pinch
неопытность,"inexperience, lack of experience"
мутация,mutation
лебеда,goose-foot
металлолом,scrap metal
проскакивать,"rush by, tear by, slip, fall, slip in, creep in"
дворецкий,butler
горение,"burning, combustion, enthusiasm"
вымя,udder
оправка,"mandrel, arbor"
преферанс,preference
бивень,tusk
изымать,"withdraw, remove, immobilize"
испаряться,"evaporate, exhale, turn into a vapour, vaporize, disappear, vanish into thin air"
страдальческий,full of suffering
повадиться,"fall into he habit, get the habit"
общенациональный,national
отплыть,"sail, set sail, float off"
водолей,"Aquarius, Water-carrier"
флюгер,"weathercock, weather-vane"
неприкаянный,restless
малолетство,"infancy, nonage, minority"
ограниченность,"limited nature, scantiness, narrow-mindedness"
простоватый,simple
вышивать,embroider
напёрсток,thimble
понаслышке,by hearsay
свить,"twist, weave"
стрелочник,"switchman, pointsman"
сатанинский,satanic
кроссворд,"crossword, crossword puzzle"
бузина,"elder-berry, elder, elder grove, elder bush"
отчётливость,"distinctness, intelligibility"
культя,stump
изрезанный,"broken, indented"
рассмешить,"make laugh, set laughing"
перешёптываться,whisper to one another
температурный,Adjective of температуре
интегральный,integral
рутина,"routine, rut, groove"
метание,"throwing, casting"
пережидать,wait till is over
булава,"mace, Indian club"
рожь,rye
табу,taboo
выгребать,"rake out, remove, row"
тёпленький,"tepid, lukewarm, nice warm"
прорастать,"germinate, sprout, shoot"
испытатель,tester
травматический,traumatic
сиротский,Adjective of сирота
палёный,"singed, scorched"
ввозить,"bring in, import"
отрастить,grow
измучиться,"be tired out, be exhausted, be worried to death"
несуразный,"awkward, clumsy, senseless, absurd"
увёртываться,"dodge, evade"
трухлявый,"mouldering, rotten"
глодать,gnaw
графский,Adjective of граф
банальность,"banality, triteness, commonplace, platitude"
привратник,"door-keeper, porter"
отклониться,"reject, turn-down"
отклониться,veer-off
борный,"boracic, boric"
птицелов,"fowler, bird-catcher, bird-snarer"
галантный,"courteous, gallant"
гепард,cheetah
палящий,"burning, scorching"
надгробие,"gravestone, epitaph"
магнитофонный,tape-recorder
обобрать,"pick, gather, rob, fleece"
изнанка,the wrong side
мародёр,"marauder, pillager, looter"
нега,"contentment, bliss, comfort, prosperity"
кабинетный,"abstract, theoretical"
телепатия,telepathy
наглотаться,swallow
линять,"fade, lose colour, run, shed hair, cast the coat, moult, slough"
дог,mastiff
безбрежный,"boundless, immense"
марихуана,"marijuana, pot, grass"
потенция,"potency, potentiality"
пантера,panther
сплющить,flatten
докончить,"finish, end"
парижанин,Parisian
коррекция,correction
помешивать,stir slowly
беллетристика,fiction
голубиный,"dove-like, dove"
мертвенный,"deathly, ghastly"
завозить,"leave, drop off, supply, deliver, soil, dirty"
кокетство,coquetry
всплакнуть,"shed a few tears, have a little cry"
вспорхнуть,take wing
запрудить,"dam, dike, block up, fill to overflowing"
некурящий,"non-smoking, non-smoker"
амуниция,accoutrements
деньжата,"money, cash"
метко,"neatly, to the point"
обобщать,"generalize, summarize"
заручиться,secure
таджикский,Tajik
солидность,"solidity, reliability"
кондуит,conduct-book
елозить,go crawling about
индюк,turkey
эпилепсия,epilepsy
подогревать,"warm up, stir up, rouse"
прогибаться,"cave in, sag"
рыжеволосый,red-haired
ворчание,"grumbling, grumble, growling"
пережёвывать,"masticate, repeat over and over again"
похоть,"lust, carnality"
фантазёр,"dreamer, visionary"
отчётный,"report, current, accountable"
спазм,spasm
отдушина,"air-hole, air-way, vent, safety-valve, distraction"
трещинка,disagreement
непролазный,impassable
подкуп,"bribery, subornation, graft"
пылить,"raise dust, fill the air with dust"
керамический,ceramic
апогей,"apogee, climax, culmination, acme"
щур,pine-grosbeak
рождаемость,birth rate
водворить,"install, house, settle, establish"
народиться,"come into being, arise"
скандинавский,Scandinavian
иссякать,"run dry, dry up"
изумительно,"amazingly, wonderfully"
кибернетика,cybernetics
чалма,turban
удавить,strangle
неприемлемый,"unacceptable, inadmissible"
четвертинка,quarter-litre bottle
выгнуться,bend
участница,Member
преподобный,"saint, Reverend"
погребение,"burial, interment"
крошево,"hash, medley"
мелок,chalk
перемещать,"move somewhere else, transfer somewhere else"
каторжник,convict
водолаз,diver
водолаз,Newfoundland dog
коленный,Adjective of колено
раструб,"socket, bell, bell mouth"
ветеринарный,veterinary
краевой,regional
талмуд,Talmud
шантажировать,blackmail
вологодский,"Vologda, related to Vologda, Vologda-based"
поверенный,"attorney, confidant"
гуляка,"reveller, flaneur, playboy, idler"
наездник,"horseman, rider, jockey, ichneumon-fly"
лояльный,loyal
порожний,"empty, vacant"
гонорея,gonorrhoea
занавесить,curtain
эстетика,aesthetics
разграбить,"ransack, plunder, pillage, loot"
прилежно,"diligently, industriously, assiduously, studiously"
хвастливый,"boastful, vainglorious"
скучноватый,"dullish, rather tedious"
посягательство,"encroachment, infringement"
накатывать,"roll, make smooth, move"
ромб,"rhomb, diamond"
уморить,"kill, starve to death, exhaust, tire out, be the death"
подпорка,"prop, support, brace, strut"
непотребный,"obscene, indecent"
перешеек,"isthmus, neck"
бригадный,brigade-
повинность,"duty, obligation"
десятью,ten times
голосовой,vocal
регламент,"regulation, time-limit"
платан,"platan, plane"
заученный,"prepared, studied"
разбрызгивать,"splash, spray"
мотыль,"crank, mosquito grub"
печёный,baked
плющ,ivy
дислокация,"stationing, distribution, displacement, dislocation"
островитянин,islander
прислуживать,"wait, attend"
фальсифицировать,"falsify, forge, adulterate"
сиамский,Siamese
схоласт,scholastic
тёс,boards
иррациональный,irrational
громадина,"huge thing, enormous thing, vast object"
доконать,"be the end, finish of, deal the final blow, ruin, destroy"
отворачивать,"turn away, remove, turn aside, turn on, turn off, unscrew, loosen"
перекричать,"outvoice, shout down"
материалист,materialist
невооружённый,unarmed
служака,campaigner
заблаговременно,"in advance, early, in good time, ahead of time"
перемирие,"armistice, truce"
морж,"walrus, winter-swimmer"
однополчанин,"brother-soldier, brother-officer"
благоразумие,"sense, wisdom, prudence"
зачинщик,"instigator, ringleader"
метрополия,"mother country, centre of empire"
козлиный,Adjective of козёл
пристойный,"decent, proper, decorous, becoming, seemly"
грузило,"plummet, sinker"
трансформатор,"transformer, quick-change actor, conjurer, illusionist"
водопой,"watering, watering-place, pond, horse-pond"
криминалист,criminalist
архиерей,bishop
укроп,"dill, fennel"
сборщик,"collector, fitter, assembler, engine fitter"
выгладить,"iron, press, stroke"
обуть,"provide with shoes, boots"
гильдия,guild
сенной,hay
потеснить,"press, crowd, squeeze, be too tight"
сопротивляемость,"resistibility, resistive capacity, resistivity"
отсыпаться,"pour out, sleep off, make up for lost sleep, have a long sleep"
разрыть,"tear, tear asunder, break, dig up, rummage through, turn upside-down"
распутать,"untangle, untwine, disentangle, unravel, puzzle out"
безрукий,"armless, one-armed, awkward, clumsy"
пресмыкаться,"creep, crawl, grovel"
вырубать,"cut down, fell, cut out, make"
художница,"artist, painter"
растрата,"spending, waste, embezzlement, peculation"
стезя,"path, way"
переборка,"sorting out, partition, bulkhead, resetting"
опознание,identification
протопоп,archpriest
познавать,"get to know, cognize, become acquainted, experience"
босяк,"down-and-out, tramp"
осквернить,"defile, profane"
волдырь,"blister, bump"
воссоздать,"re-create, reconstitute, reconstruct, renew"
малоизвестный,"little known, not popular"
подправить,"touch up, retouch"
перевалиться,"fall over, roll over, fall, tumble"
выхлоп,exhaust
насытить,"satiate, sate, saturate"
лексика,vocabulary
груздь,milk mushroom
янки,Yankee
согреваться,"warm, get warm"
понапрасну,in vain
чернить,"blacken, slander, smear, cast slurs, cast a slur"
разгладить,"smooth out, iron out"
косоглазый,"squint-eyed, cross-eyed, squint-eye"
бесперспективный,"having no prospects, having no future, hopeless, gloomy, dark"
постреливать,"fire, shoot now and then"
мессия,Messiah
оштрафовать,fine
обратимый,"reversible, convertible"
истоптать,"trample, wear out"
отплясывать,"dance, shake a leg, dance with zest"
кротость,"gentleness, meekness, moldness"
просветлеть,"clear up, brighten up"
применимый,"applicable, suitable"
обдирать,"strip, peel, skin, flay, flense, fleece, rook, graze"
изготавливать,"make, manufacture"
глуповатый,"dull, not very bright"
холецистит,cholecystitis
безотчётный,"not liable to account, not subject to control, unaccountable, instinctive, unconscious"
химера,chimera
монтёр,"fitter, electrician"
винтовочный,Adjective of винтовка
сброд,"the rabble, riff-raff, ragtag and bobtail"
механизированный,mechanized
повременить,wait a little
закоренелый,"inveterate, ingrained, deep-rooted"
волонтёр,volunteer
сучить,"spin, twist, throw, jerk, work"
вышеуказанный,"foregoing, above, aforesaid"
раздельный,"separate, clear, distinct"
индивидуум,individual
удвоенный,"doubled, redoubled, reduplicated, double"
неприкосновенный,inviolable
годовалый,one-year-old
стильный,stylish
улучшаться,"improve, ameliorate, take a turn for the better"
подсматривать,spy
аргументация,"argumentation, reasoning"
изюм,"raisins, sultana"
зарождение,"origin, conception"
внятный,distinct
начальница,"head, chief, superior"
жирафа,giraffe
сантехник,plumber
аспирин,aspirin
оголтелый,"unbridled, frenzied, wild"
непорочный,"chaste, immaculate, pure"
оплести,"braid, twine, get round, cheat, swindle"
кристальный,crystal-clear
изобиловать,"abound, be rich, teem"
накричать,"shout, rate"
зимовье,winter quarters
заигрывать,"flirt, make advances, spoil wear out, by playing, vulgarize, debase, run down"
истосковаться,"miss badly, be sick, yearn"
перепечатать,"type, reprint, retype"
пристукнуть,"kill with a blow, club to death"
насилу,"with difficulty, hardly"
обмереть,faint
разминуться,"miss each other, cross each other, pass"
саднить,"burn, smart"
возрождаться,"revive, return to life, be restored to life"
платина,platinum
кибернетический,cybernetic
благоустроенный,"comfortable, well organized, well-equipped"
щёлочь,alkali
антилопа,antelope
визитёр,"visitor, caller"
терпимость,"tolerance, indulgence"
помесь,"cross-breed, hybrid, mish-mash"
кратер,crater
копчик,coccyx
маточный,uterine
убойный,for slaughter
переругиваться,"quarrel, squabble"
кома,coma
одеревенеть,"become grow stiff numb, stiffen"
сепаратор,separator
натяжка,"stretch, strained interpretation"
атлетический,athletic
вихор,"tuft, forelock"
ссыпать,pour
недействительный,"inefficacious, invalid, void, null, ineffective, ineffectual"
преподавательница,"teacher, lecturer, instructor"
посмертно,posthumously
наживать,"acquire, make, gain"
полнокровный,"full-blooded, sanguineous, plethoric"
поясничный,lumbar
желток,yolk
накручивать,"wind, turn"
накручивать,drive up
желе,jelly
контрабандный,contraband
тенорок,gentle tenor voice
помилование,"pardon, forgiveness"
выпереть,"bulge out, protrude, stick out, push out, shove out"
вдумчивый,"serious, profound, thoughtful, penetrating"
прочёсывать,"comb out thoroughly, comb"
ревнитель,"adherent, zealot"
контратака,counter-attack
мнительный,"hypochondriac, mistrustful, suspicious"
сербский,Serbian
слепень,"gadfly, horse-fly, breeze"
островерхий,"peaked, ridge-roofed"
одобрительный,approving
благодушие,"kindliness, placidity, mildness of temper, good humour"
прилепить,stick
угонять,"drive away, steal, hijack, high-jack, skyjack"
побрить,shave
экскурсант,"excursionist, sightseer"
заносчивый,"arrogant, insolent, presumptuous, overbearing, haughty"
прокатить,"give a ride, take for a drive, roll by"
простак,simpleton
трикотажный,"stockinet, knitted, jersey"
вязнуть,stick
отстёгивать,"unfasten, undo, unbutton"
дерзнуть,dare
предутренний,"daybreak, at dawn, at break of day"
лукавство,"slyness, archness"
добросовестность,"honesty, conscientiousness"
вермишель,vermicelli
транзитный,Adjective of транзит
экстравагантный,"eccentric, extravagant"
закулисный,"backstage, behind the scenes"
приземляться,"to land, touch down"
приземляться,landing
правопорядок,law and order
усопший,"deceased, the deceased"
вытрясти,shake out
хворь,"ailment, illness"
тяжеловесный,"heavy, heavily-laden, heavily-loaded, ponderous, unwieldy, clumsy"
кляча,jade
обещаться,promise
слюнявый,"slobbery, dribbling, driveling"
поворотный,"rotary, turning"
амплуа,"line of business, line, role"
захрустеть,begin to crunch
управдом,house-manager
скормить,feed
яблоневый,"Adjective of яблоня, apple"
расшевелить,"move, stir, shake up, stir up, rouse"
колесница,chariot
противопоказание,"contradictory evidence, contra-indication"
гак,hook
подёргиваться,twitch
затворить,"close, shut"
бурун,"breaker, surf, bow wave"
охранка,Okhranka
пуповина,"umbilical cord, navel-string"
горластый,"noisy, vociferous, loud-mouthed"
тактичный,tactful
судейский,"judicial, officer of the court"
художественно,artistically
желудочек,ventricle
подлетать,fly up
отрада,"delight, joy, comfort, consideration"
блажь,"caprice, whim, whimsy"
тщиться,endeavour
домоуправление,house management
цапля,heron
кобра,cobra
нарождаться,"come into being, arise"
непередаваемый,"inexpressible, ineffable"
ячмень,"barley, sty"
клика,"clique, faction, cabal"
сожитель,"room-mate, lover"
детектор,"detector, spark indicator"
тривиальный,"trivial, banal, commonplace, trite, hackneyed"
заступник,"defender, intercessor, mediator, patron"
козерог,"Capricorn, wild mountain goat, ibex"
ухлопать,"kill, murder, squander, waste"
обезоружить,disarm
флегмона,phlegmon
сменщик,relief
заладить,take
обирать,"pick, gather, rob, fleece"
рыболовство,"fishing, fishery"
замуровать,"brick up, hide"
розничный,retail
арматура,"accessories, fitting, fixtures, reinforcement"
подкупать,"bribe, suborn, graft, win over, buy some more, buy extra"
неврастения,neurasthenia
гипнотический,"hypnotic, mesmeric"
управленческий,"administrative, management"
несгибаемый,"unbending, inflexible"
отлучка,absence
глядеться,look
крючковатый,hooked
уповать,set hopes
обет,"vow, promise"
постольку,"in so far as, inasmuch as"
сатурн,Saturn
драить,"scrub, swab"
нимб,"nimbus, halo"
фанатизм,fanaticism
излияние,"effusion, outpouring"
распоясаться,"ungirdle, throw aside all restraint, let oneself go"
прогнозировать,forecast
размокнуть,"get soaked, get sodden"
баск,Basque
Бостон,Boston
экватор,equator
оркестровый,orchestral
ужалить,"sting, bite"
опрашивать,"interrogate, examine"
замкнутость,"reticence, reserve"
южанин,southerner
искоренить,eradicate
перебранка,"wrangle, squabble"
располагающий,prepossessing
кощунство,blasphemy
полька,"Pole, polka"
неурядица,"confusion, disorder, mess, squabbling"
текстильный,textile
несъедобный,"uneatable, inedible"
непрекращающийся,"ceaseless, unceasing, incessant"
хлипкий,"weak, fragile, shaky"
подвесной,"suspended, pendant, pendulous, suspension"
вспрыгнуть,jump up
вопросить,"inquire, question"
чеканить,"mint, coin, chase, caulk"
смёрзнуться,"freeze together, be fused into a frozen mass, regelate"
статический,static
отклоняться,"diverge, deviate, swerve, digress"
мошкара,swarm of midges
экспериментировать,experiment
железно,without fail
негритянский,Negro
квартет,quartet
заламывать,break off
гниль,"rotten stuff, rot, mould"
ирландский,Irish
бархатистый,velvety
тир,"shooting-range, shooting-gallery"
бюрократизм,"bureaucratism, red tape"
говорливый,"talkative, garrulous, loquacious, murmuring"
эксплуататор,exploiter
ехидство,"malice, spite, insidiousness"
пожертвование,donation
проскакать,gallop
тромбофлебит,trombophlebitis
заправский,"true, real, regular"
простолюдин,"commoner, man of the common people"
истерия,hysteria
писанина,scribble
верфь,"shipyard, yard, dockyard"
сравняться,"compete, match, amount, come practically, emulate, dress, align oneself"
паланкин,palanquin
недоесть,"be undernourished, be underfed, not get enough to eat, not eat enough"
большак,"highroad, main road, head of the family"
подворотничок,undercollar
саранча,locust
прощупывать,"feel, sound"
посулить,promise
вскипать,boil up
просчитаться,"make an error in counting, go wrong, be out in counting, miscalculate"
многодетный,having many children
опальный,"disgraced, fallen into disgrace, out of favour"
усугубляться,"be redoubled, be aggravated"
оттиск,"impression, reprint"
диалект,dialect
ледоруб,ice-axe
туземный,"native, indigenous"
бацилла,bacillus
ничегошеньки,"nothing at all, not a thing"
миндалина,almond
косоворотка,Russian shirt
рефлекторный,reflex
осмотрительный,"circumspect, wary, cautious"
бедствовать,live in poverty
вытолкать,"chuck out, push"
запаздывать,"be late, be behind schedule, lag"
оклеветать,"slander, calumniate, defame"
вводный,introductory
младенческий,infantile
радикал,radical
кепи,kepi
вылупиться,hatch
четвероногий,"four-footed, four-legged, quadrupedal"
обегать,"run, call, look in, see, call on, everybody, run round, run past, run round to see, visit all, outrun"
порваться,"break off, be torn"
спёртый,"close, stuffy, stifling"
солить,"salt, pickle, corn"
перетерпеть,"suffer, endure, overcome"
заползти,"crawl, creep, begin to crawl"
пернатый,"feathery, feathered"
ржаветь,"become rusty, rust"
торпеда,torpedo
кураж,"boldness, spirit"
аварец,Avar
въедливый,"hair-splitting, meticulous"
ввоз,"import, importation"
сверить,collate
конфронтация,confrontation
политработник,political worker
камерный,chamber
ветвистый,branchy
полугодие,"half-year, six months"
инициативный,"initiative, full of initiative"
воспрепятствовать,"prevent, hinder"
цирроз,cirrhosis
гребля,rowing
застояться,stand too long
заглатывать,swallow
впотьмах,in the dark
самоотверженность,selflessness
облачность,cloudiness
протоптать,"tread, beat, make, wear out"
обоняние,sense of smell
садок,"fish-well, fish-pond, nurse-pond"
выбоина,"dint, dent, pot-hole"
крамольный,seditious
вопросник,questionnaire
щеголеватый,"dandyish, foppish, dandified"
экспромт,impromptu
отчитывать,"reprimand, lecture, read a lecture"
заречный,"situated on the other bank of the rive, over the river"
надстройка,"raising, building on, superstructure, additional storey"
автобиография,autobiography
взбодрить,"embolden, reassure, cheer up, buck up"
отстраняться,"move away, keep away, keep aloof"
бельевой,Adjective of бельё
осетрина,sturgeon
навевать,"blow, cast"
обормот,blockhead
тюлень,"seal, clumsy clot"
поживиться,profit
помещичий,Adjective of помещик
прилипать,"stick, adhere"
загрызть,"bite to death, worry to death, worry the life out"
произрастать,"grow, spring up, sprout"
сбрить,shave off
закалка,"tempering, hardening, training, acquired toughness"
вздутый,"swollen, inflated, bloated"
консоль,"console, corbel, cantilever"
клеветник,"slanderer, calumniator"
токсин,toxin
позолота,"gilding, gilt"
многоцветный,"many-coloured, multi-coloured, polychromatic, polychrome, multiflorous"
тужиться,"exert oneself, make an effort"
астероид,asteroid
изведать,"experience, come to know"
адмиралтейство,the Admiralty
пансион,"boarding-school, boarding-house, board and lodging"
письменность,written language
пошить,"sew, do some sewing"
катетер,catheter
сульфат,sulphate
конструировать,"construct, design, form, organize"
рекогносцировка,"reconnaissance, reconnoitring"
экстремист,extremist
втихаря,on the sly
выслеживать,"trace, track, shadow, spot, be on the track, watch"
нирвана,nirvana
